Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
22/02/2025,60.00,Transpo,Transportation,Weekend
22/02/2025,28.00,Ice,Personal,Weekend
22/02/2025,265.00,Food,Week 3 (16-22),Weekend
23/02/2025,95.00,Food,Week 3 (16-22),Weekend
23/02/2025,200.00,Laundry,Laundry,Weekend
23/02/2025,156.00,Food,Week 4 (23-28),Weekend
24/02/2025,293.00,Food,Week 4 (23-28),School
24/02/2025,600.00,Chill,Personal,School
25/02/2025,450.00,Food,Week 4 (23-28),Regular
26/02/2025,438.00,Food,Week 4 (23-28),Regular
27/02/2025,375.00,Food,Week 4 (23-28),School
28/02/2025,240.00,Food,Week 4 (23-28),School
28/02/2025,110.00,Transpo ,Transportation,School
28/02/2025,75.00,Spotify,Personal,School
28/02/2025,100.00,KFC,Personal,School
28/02/2025,58.00,,Personal,School
01/03/2025,"6,500.00",March Rent,Mar Rent,Weekend
02/03/2025,25.00,Transpo,Transportation,Weekend
02/03/2025,347.00,Jollibee + BBQ,Week 1 (2-8),Weekend
03/03/2025,156.00,Food,Week 1 (2-8),School
03/03/2025,300.00,Water Bill,Water Bill,School
04/03/2025,400.00,Internet,Internet Bill,School
04/03/2025,159.00,Food,Week 1 (2-8),School
05/03/2025,110.00,Food,Week 1 (2-8),Regular
05/03/2025,395.00,Post-finals celeb,Personal,Regular
06/03/2025,300.00,McDo,Week 1 (2-8),Regular
06/03/2025,445.00,Food,Week 1 (2-8),Regular
06/03/2025,200.00,Laundry,Laundry,Regular
06/03/2025,140.00,Transpo,Transportation,Regular
07/03/2025,110.00,MT,Personal,Regular
07/03/2025,70.00,Transpo,Transportation,Regular
07/03/2025,100.00,Lalamove,Personal,Regular
07/03/2025,480.00,Memory Stick ,Personal,Regular
09/03/2025,750.00,Memory Stick Duo Adaptor,Personal,Weekend
09/03/2025,150.00,Lalamove,Personal,Weekend
09/03/2025,140.00,Food,Week 2 (9-15),Weekend
09/03/2025,60.00,Transpo,Transportation,Weekend
10/03/2025,350.00,Card Reader + Cable,Personal,Regular
10/03/2025,72.00,Transpo,Personal,Regular
10/03/2025,590.00,Food,Week 2 (9-15),Regular
11/03/2025,300.00,Transpo,Transportation,Regular
12/03/2025,65.00,Transpo,Transportation,Regular
12/03/2025,415.00,Food,Week 2 (9-15),Regular
12/03/2025,"2,847.00",Swimming,Swimming,Regular
12/03/2025,190.00,Drinks,Personal,Regular
14/03/2025,88.00,Transpo,Transportation,Regular
14/03/2025,189.00,Milktea ,Week 2 (9-15),Regular
16/03/2025,60.00,Transpo,Transportation,Weekend
16/03/2025,110.00,Ice Cream,Personal,Weekend
16/03/2025,385.00,Food,Week 3 (16-22),Weekend
17/03/2025,110.00,Food,Week 3 (16-22),School
17/03/2025,100.00,Transpo,Transportation,School
17/03/2025,10.00,Print,School,School
18/03/2025,470.00,Food,Week 3 (16-22),School
18/03/2025,50.00,Joyride,Transportation,School
19/03/2025,"6,300.00",Tuition,Tuition,Regular
19/03/2025,154.00,SOA + CTC Grade,School,Regular
19/03/2025,130.00,Food,Week 3 (16-22),Regular
19/03/2025,210.00,Coffee + Quesadilla,Personal,Regular
19/03/2025,200.00,Laundry,Laundry,Regular
20/03/2025,462.00,Food,Week 3 (16-22),School
20/03/2025,70.00,Transpo,Transportation,School
21/03/2025,140.00,Transpo,Transportation,School
21/03/2025,453.00,Food,Week 3 (16-22),School
22/03/2025,110.00,Milktea,Week 3 (16-22),Weekend
22/03/2025,120.00,Transpo,Transportation,Weekend
23/03/2025,120.00,Haircut,Personal,Weekend
23/03/2025,245.00,Transpo,Transportation,Weekend
23/03/2025,404.00,Food,Week 4 (23-31),Weekend
25/03/2025,380.00,Food,Week 4 (23-31),School
25/03/2025,85.00,LBC,School,School
25/03/2025,110.00,Meralco Load,Power Bill,School
25/03/2025,349.00,Food,Week 4 (23-31),School
24/03/2025,550.00,Meralco Load,Power Bill,School
26/03/2025,65.00,Training,School,Regular
26/03/2025,83.00,Transpo,Transportation,Regular
26/03/2025,235.00,Food,Week 4 (23-31),Regular
27/03/2025,339.00,Food,Week 4 (23-31),School
28/03/2025,353.00,Transpo,Week 4 (23-31),School
30/03/2025,224.00,Transpo ,Transportation,Weekend
31/03/2025,418.00,Food,Week 4 (23-31),School
31/03/2025,28.00,Print ,School,School
31/03/2025,200.00,Laundry,Laundry,School
01/04/2025,100.00,Earphone,Personal,School
01/04/2025,206.00,Transpo,Transportation,School
01/04/2025,530.00,Food,Week 1 (1-5),School
01/04/2025,50.00,Food,Week 1 (1-5),School
01/04/2025,325.00,Food,Week 1 (1-5),School
01/04/2025,325.00,Water Bill,Water Bill,School
01/04/2025,65.00,Training,Personal,School
01/04/2025,75.00,Spotify,Personal,School
01/04/2025,400.00,Wifi,Internet Bill,School
01/04/2025,25.00,Food,Week 1 (1-5),School
01/04/2025,399.00,Food,Week 1 (1-5),School
01/04/2025,50.00,Print,School,School
01/04/2025,50.00,Food,Week 1 (1-5),School
01/04/2025,270.00,Move It ,Transportation,School
01/04/2025,184.00,Jollibee,Week 1 (1-5),School
01/04/2025,"6,500.00",Rent,Apr Rent,School
06/04/2025,224.00,Food,Week 2 (6-12),Weekend
07/04/2025,210.00,Food,Week 2 (6-12),School
07/04/2025,57.00,Transpo,Transportation,School
08/04/2025,520.00,Food,Week 2 (6-12),School
08/04/2025,50.00,Commission,Personal,School
09/04/2025,200.00,Laundry,Laundry,Regular
09/04/2025,95.00,Transpo,Transportation,Regular
09/04/2025,552.00,Food,Week 2 (6-12),Regular
09/04/2025,75.00,Training,Personal,Regular
09/04/2025,550.00,Meralco Load,Power Bill,Regular
10/04/2025,804.00,Food,Week 2 (6-12),School
11/04/2025,525.00,Food,Week 2 (6-12),School
11/04/2025,150.00,Bb,Personal,School
12/04/2025,350.00,Food,Week 2 (6-12),Weekend
13/04/2025,426.00,Food,Week 3 (13-19),Weekend
13/04/2025,337.00,Move it,Transportation,Weekend
14/04/2025,800.00,Jersey,School,School
14/04/2025,60.00,Play,Personal,School
14/04/2025,207.00,Food,Week 3 (13-19),School
14/04/2025,390.00,Transpo,Transportation,School
14/04/2025,70.00,Play,Personal,School
14/04/2025,333.00,Food,Week 3 (13-19),School
15/04/2025,200.00,Laundry,Laundry,School
15/04/2025,429.00,Food,Week 3 (13-19),School
15/04/2025,125.00,Transpo,Transportation,School
17/04/2025,105.00,Food,Week 3 (13-19),Regular
17/04/2025,108.00,Transpo,Transportation,Regular
17/04/2025,149.00,Subs,Personal,Regular
17/04/2025,99.00,Subs,Personal,Regular
17/04/2025,136.00,Food,Week 3 (13-19),Regular
19/04/2025,15.00,Water,Week 3 (13-19),Weekend
20/04/2025,176.00,Insole,Personal,Weekend
20/04/2025,186.00,Tshirt,Personal,Weekend
20/04/2025,185.00,Transpo,Transportation,Weekend
20/04/2025,326.00,Food,Week 4 (20-30),Weekend
21/04/2025,278.00,Food,Week 4 (20-30),School
